time	V(N001,N002)	I(D1)
3.188598660698150e-002	6.454807e-001	3.658583e-003
3.244402232126720e-002	6.522356e-001	4.182844e-003
3.300205803555290e-002	6.578368e-001	4.712874e-003
3.356009374983859e-002	6.622843e-001	5.248673e-003
3.577828571412418e-002	6.771154e-001	7.392709e-003
3.799647767840977e-002	6.903455e-001	9.544750e-003
4.021466964269536e-002	7.019745e-001	1.170480e-002
4.243286160698095e-002	7.120024e-001	1.387285e-002
4.465105357126654e-002	7.204292e-001	1.604891e-002
4.686924553555213e-002	7.272549e-001	1.823297e-002
4.908743749983771e-002	7.324796e-001	2.042504e-002
4.913626562483771e-002	7.326136e-001	2.047320e-002
4.995117187500001e-002	7.348151e-001	2.127710e-002
5.000000000000000e-002	7.349453e-001	2.132527e-002
